size_mb,gc,x_organism_name,organism_groups,domain,kingdom,class,group,bio_sample,assembly
167.676,64.5,Emiliania huxleyi CCMP1516,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02744062,GCA_000372725.1
119.668,36.0528,Arabidopsis thaliana,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN03081427,GCA_000001735.1
412.924,34.047,Medicago truncatula,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02299339,GCA_000219495.2
978.972,35.1208,Glycine max,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN00002965,GCA_000004515.3
823.786,35.7097,Solanum lycopersicum,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN02981290,GCA_000188115.2
374.423,43.5769,Oryza sativa Japonica Group,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMD00000397,GCA_001433935.1
15344.7,46.1,Triticum aestivum,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN07284949,GCA_002220415.2
2135.08,46.9109,Zea mays,Eukaryota;Plants;Land Plants,Eukaryota,Plants,Land Plants,eukaryotes,SAMN04296295,GCA_000005005.6
7.66146,27.8,Pneumocystis carinii B80,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02380717,GCA_001477545.1
12.5913,36.0381,Schizosaccharomyces pombe,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA3138176,GCA_000002945.2
12.1571,38.1556,Saccharomyces cerevisiae S288C,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,,GCA_000146045.2
39.2051,56.5,Phanerochaete chrysosporium,Eukaryota;Fungi;Basidiomycetes,Eukaryota,Fungi,Basidiomycetes,eukaryotes,SAMN05790961,GCA_001910725.1
14.2827,33.4827,Candida albicans SC5314,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953594,GCA_000182965.3
30.276,50.2721,Aspergillus nidulans FGSC A4,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953587,GCA_000149205.2
29.385,49.8105,Aspergillus fumigatus Af293,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN00115746,GCA_000002655.1
41.1024,48.2319,Neurospora crassa OR74A,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953583,GCA_000182925.2
32.8551,59.7114,Leishmania major strain Friedlin,Eukaryota;Protists;Kinetoplasts,Eukaryota,Protists,Kinetoplasts,eukaryotes,SAMEA3138173,GCA_000002725.2
89.9375,51.7,Trypanosoma cruzi,Eukaryota;Protists;Kinetoplasts,Eukaryota,Protists,Kinetoplasts,eukaryotes,SAMN02953627,GCA_000209065.1
11.2136,49.2,Giardia lamblia ATCC 50803,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02952905,GCA_000002435.1
20.8354,24.3,Entamoeba histolytica HM-1:IMSS,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953605,GCA_000208925.2
22.1481,47.1525,Trypanosoma brucei gambiense DAL972,Eukaryota;Protists;Kinetoplasts,Eukaryota,Protists,Kinetoplasts,eukaryotes,SAMEA2272188,GCA_000210295.1
51.8944,51.0796,Eimeria tenella,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA3138819,GCA_000499545.1
9.10232,30.2256,Cryptosporidium parvum Iowa II,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMN02952908,GCA_000165345.1
65.6681,52.2873,Toxoplasma gondii ME49,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMN00255192,GCA_000006565.2
18.5607,22.2913,Plasmodium berghei ANKA,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA736069,GCA_900002375.1
23.2703,19.363,Plasmodium falciparum 3D7,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,,GCA_000002765.1
18.8678,23.6106,Plasmodium chabaudi chabaudi,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA768774,GCA_900002335.1
23.4622,39.1684,Plasmodium knowlesi strain H,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA2272753,GCA_000006355.1
27.0137,42.2825,Plasmodium vivax,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMN02953638,GCA_000002415.2
8.17971,41.6127,Babesia bovis,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMN02953679,GCA_000165395.1
8.35812,32.5492,Theileria annulata,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA3138180,GCA_000003225.1
8.34761,34.0411,Theileria parva,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMN02953620,GCA_000165365.1
2.49752,47.3005,Encephalitozoon cuniculi GB-M1,Eukaryota;Fungi;Other Fungi,Eukaryota,Fungi,Other Fungi,eukaryotes,SAMEA3138295,GCA_000091225.1
108.384,37.6966,Caenorhabditis briggsae,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMEA3138181,GCA_000004555.3
100.286,35.4317,Caenorhabditis elegans,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMEA3138177,GCA_000002985.3
93.6591,31.499,Brugia malayi,Eukaryota;Animals;Roundworms,Eukaryota,Animals,Roundworms,eukaryotes,SAMN02953652,GCA_000002995.2
1278.73,38.1667,Aedes aegypti,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN07177802,GCA_002204515.1
2247.31,40.3999,Aedes albopictus,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN05908721,GCA_001876365.2
265.027,44.5151,Anopheles gambiae str. PEST,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02952903,GCA_000005575.1
143.726,42.0803,Drosophila melanogaster,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN02803731,GCA_000001215.4
250.287,34.1338,Apis mellifera,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMN00002455,GCA_000002195.1
1679.2,36.6374,Danio rerio,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMN06930106,GCA_000002035.4
115.227,36.0239,Ciona intestinalis,Eukaryota;Animals;Other Animals,Eukaryota,Animals,Other Animals,eukaryotes,,GCA_000224145.2
3253.85,41.4671,Homo sapiens,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,,GCA_000001405.26
2818.97,41.951,Mus musculus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,,GCA_000001635.8
29.364,52.8,Aspergillus terreus NIH2624,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953635,GCA_000149615.1
32.4374,46.905,Thalassiosira pseudonana CCMP1335,Eukaryota;Other;Other,Eukaryota,Other,Other,eukaryotes,SAMN02744045,GCA_000149405.2
363.107,34.1,Glossina morsitans morsitans,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMEA3146294,GCA_001077435.1
34.205,22.4631,Dictyostelium discoideum AX4,Eukaryota;Protists;Other Protists,Eukaryota,Protists,Other Protists,eukaryotes,SAMN02953606,GCA_000004695.1
87.1453,52.9,Guillardia theta CCMP2712,Eukaryota;Other;Other,Eukaryota,Other,Other,eukaryotes,SAMN00116900,GCA_000315625.1
36.458,48.3278,Fusarium graminearum PH-1,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953593,GCA_000240135.3
11.8653,40.2,Saccharomyces bayanus 623-6C,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953590,GCA_000167035.1
11.4703,38,Saccharomyces mikatae IFO 1815,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953585,GCA_000166975.1
19.0519,48.5368,Cryptococcus neoformans var. neoformans JEC21,Eukaryota;Fungi;Basidiomycetes,Eukaryota,Fungi,Basidiomycetes,eukaryotes,SAMN03081418,GCA_000091045.1
40.9791,51.5882,Magnaporthe oryzae 70-15,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953596,GCA_000002495.2
8.72945,44.4,Saccharomyces kudriavzevii FM1066,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN00829192,GCA_000256765.1
391.485,45.8414,Takifugu rubripes,Eukaryota;Animals;Fishes,Eukaryota,Animals,Fishes,eukaryotes,SAMEA3138310,GCA_000180615.2
587.353,37.5,Ciona savignyi,Eukaryota;Animals;Other Animals,Eukaryota,Animals,Other Animals,eukaryotes,SAMN02952906,GCA_000149265.1
22.7559,21.9201,Plasmodium yoelii,Eukaryota;Protists;Apicomplexans,Eukaryota,Protists,Apicomplexans,eukaryotes,SAMEA1032065,GCA_900002385.1
12.2147,38.242,Saccharomyces paradoxus,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA4461731,GCA_002079145.1
11.2195,36.7559,Naumovozyma castellii CBS 4309,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMEA2271985,GCA_000237345.1
11.5091,41.6535,Lachancea kluyveri NRRL Y-12651,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN02953588,GCA_000149225.1
19.6644,54.0121,Ustilago maydis 521,Eukaryota;Fungi;Basidiomycetes,Eukaryota,Fungi,Basidiomycetes,eukaryotes,SAMN02900459,GCA_000328475.2
36.1926,51.6,Coprinopsis cinerea okayama7#130,Eukaryota;Fungi;Basidiomycetes,Eukaryota,Fungi,Basidiomycetes,eukaryotes,SAMN02953595,GCA_000182895.1
2870.18,42.3282,Rattus norvegicus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02808228,GCA_000001895.4
9.11931,51.6989,Eremothecium gossypii ATCC 10895,Eukaryota;Fungi;Ascomycetes,Eukaryota,Fungi,Ascomycetes,eukaryotes,SAMN03081415,GCA_000091025.4
521.895,41.8,Branchiostoma floridae,Eukaryota;Animals;Other Animals,Eukaryota,Animals,Other Animals,eukaryotes,SAMN02953694,GCA_000003815.1
481.819,38.7993,Bombyx mori,Eukaryota;Animals;Insects,Eukaryota,Animals,Insects,eukaryotes,SAMD00036537,GCA_000151625.1
2521.86,40.3,Felis catus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953640,GCA_000181335.4
16.5467,55.0171,Cyanidioschyzon merolae strain 10D,Eukaryota;Other;Other,Eukaryota,Other,Other,eukaryotes,,GCA_000091205.1
1440.4,40.5404,Xenopus tropicalis,Eukaryota;Animals;Amphibians,Eukaryota,Animals,Amphibians,eukaryotes,SAMN00000117,GCA_000004195.3
2718.43,40.2325,Xenopus laevis,Eukaryota;Animals;Amphibians,Eukaryota,Animals,Amphibians,eukaryotes,SAMN04518361,GCA_001663975.1
2670.14,41.8867,Bos taurus,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02898106,GCA_000003055.5
2615.52,41.9795,Ovis aries,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN00116405,GCA_000298735.2
2501.91,41.971,Sus scrofa,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953785,GCA_000003025.6
2410.98,41.3022,Canis lupus familiaris,Eukaryota;Animals;Mammals,Eukaryota,Animals,Mammals,eukaryotes,SAMN02953603,GCA_000002285.2
